working_set_pct,hot_region_pct,queue_depth,ccftl_response_us,compression_response_us,resp_delta_us,ccftl_iops,compression_iops,iops_delta,iops_pct_delta,ccftl_bw_Bps,compression_bw_Bps
80,40,32,837,837,0,36691.722943,36691.722943,0.0,0.0,150289297.173753,150289297.173753
80,40,64,1673,1673,0,36680.395768,36680.395768,0.0,0.0,150242901.065413,150242901.065413
100,1,8,165,165,0,48117.513747,48117.513747,0.0,0.0,197089336.307274,197089336.307274
100,1,16,331,331,0,48168.031364,48168.031364,0.0,0.0,197296256.468589,197296256.468589
100,1,32,661,661,0,48203.990263,48203.990263,0.0,0.0,197443544.117273,197443544.117273
100,1,64,1321,1321,0,48318.675815,48318.675815,0.0,0.0,197913296.137037,197913296.137037
100,5,8,194,194,0,40175.96408,40175.96408,0.0,0.0,164560748.872685,164560748.872685
100,5,16,387,387,0,40204.697015,40204.697015,0.0,0.0,164678438.973623,164678438.973623
100,5,32,774,774,0,40259.846497,40259.846497,0.0,0.0,164904331.251447,164904331.251447
100,5,64,1547,1547,0,40281.945853,40281.945853,0.0,0.0,164994850.215055,164994850.215055
100,10,8,204,204,0,38252.587966,38252.587966,0.0,0.0,156682600.310402,156682600.310402
100,10,16,408,408,0,38310.588945,38310.588945,0.0,0.0,156920172.320314,156920172.320314
100,10,32,816,816,0,38316.730939,38316.730939,0.0,0.0,156945329.924583,156945329.924583
100,10,64,1630,1630,0,38341.353605,38341.353605,0.0,0.0,157046184.367602,157046184.367602
100,20,8,209,209,0,37068.165922,37068.165922,0.0,0.0,151831207.615495,151831207.615495
100,20,16,419,419,0,37062.1873,37062.1873,0.0,0.0,151806719.181093,151806719.181093
100,20,32,838,838,0,37122.472207,37122.472207,0.0,0.0,152053646.159754,152053646.159754
100,20,64,1675,1675,0,37102.328294,37102.328294,0.0,0.0,151971136.693878,151971136.693878
100,40,8,209,209,0,37484.275768,37484.275768,0.0,0.0,153535593.545783,153535593.545783
100,40,16,419,419,0,37446.577636,37446.577636,0.0,0.0,153381181.996055,153381181.996055
100,40,32,837,837,0,37501.36294,37501.36294,0.0,0.0,153605582.602893,153605582.602893
100,40,64,1672,1672,0,37535.356993,37535.356993,0.0,0.0,153744822.241483,153744822.241483
